ECA1581	71.80	2852274	17191	70342721	1203467	F	135621	Pseudomonadaceae
ECA1581	71.32	2833181	218958	67700705	1144458	G	286	Pseudomonas
ECA1581	62.78	2493749	2493749	35013499	597410	S	47885	Pseudomonas
ECA1583	19.43	46909	1506	789546	23908	F	6243	Rhabditidae
ECA1583	18.78	45359	25876	723197	23757	G	6237	Caenorhabditis
ECA1585	25.02	79409	2567	1434311	167015	F	6243	Rhabditidae
ECA1585	24.19	76779	38408	1330744	166853	G	6237	Caenorhabditis
ECA1599	32.75	143291	4853	2371136	18306	F	6243	Rhabditidae
ECA1599	31.63	138379	80810	2161731	18044	G	6237	Caenorhabditis
ECA1603	60.86	61411279	1503036	577659418	549541	F	41297	Sphingomonadaceae
ECA1603	55.16	55656929	2983800	465556145	404365	G	13687	Sphingomonas
ECA1603	18.25	18414248	18414248	96866253	72922	S	2565555	Sphingomonas
ECA2087	29.04	89462	3652	1486344	10160	F	6243	Rhabditidae
ECA2087	27.84	85770	50063	1355149	9969	G	6237	Caenorhabditis
ECA2898	31.09	153949	5701	2563830	25386	F	6243	Rhabditidae
ECA2898	29.90	148049	86740	2331883	25073	G	6237	Caenorhabditis
ECA2899	27.06	107186	4100	1841426	87281	F	6243	Rhabditidae
ECA2899	26.00	102986	57403	1685406	87053	G	6237	Caenorhabditis
ECA2900	25.43	158790	6229	2554775	10494	F	6243	Rhabditidae
ECA2900	24.40	152375	90873	2325955	10160	G	6237	Caenorhabditis
ECA2910	29.03	93764	3708	1549083	10238	F	6243	Rhabditidae
ECA2910	27.85	89937	52148	1411381	9976	G	6237	Caenorhabditis
ECA2954	17.23	101649	4305	1290804	7035	F	6243	Rhabditidae
ECA2954	16.48	97236	62262	1174654	6814	G	6237	Caenorhabditis
ECA2955	18.56	106023	4470	1405858	5233	F	6243	Rhabditidae
ECA2955	17.76	101451	64792	1280931	5018	G	6237	Caenorhabditis
ECA3053	19.66	338873	13322	4690075	62292	F	6243	Rhabditidae
ECA3053	18.86	325097	195267	4268094	61870	G	6237	Caenorhabditis
ECA788	14.14	71383	2701	1083142	6728	F	6243	Rhabditidae
ECA788	10.56	53273	44431	660017	223622	F	543	Enterobacteriaceae
ECA788	13.60	68624	40040	987986	6537	G	6237	Caenorhabditis
ECA789	11.67	36867	1485	534607	7162	F	6243	Rhabditidae
ECA789	11.19	35345	20442	486868	7027	G	6237	Caenorhabditis
ECA790	15.34	48684	1860	735411	11103	F	6243	Rhabditidae
ECA790	14.74	46789	27566	669714	10926	G	6237	Caenorhabditis
ECA791	17.39	66005	2486	1037087	29355	F	6243	Rhabditidae
ECA791	16.72	63467	37286	948682	29147	G	6237	Caenorhabditis
ECA792	19.43	69736	2560	1065598	6724	F	6243	Rhabditidae
ECA792	18.70	67125	40834	972949	6527	G	6237	Caenorhabditis
ECA793	33.67	297074	251973	4224048	347619	F	543	Enterobacteriaceae
ECA794	23.54	110489	93190	1524309	309643	F	543	Enterobacteriaceae
ECA794	11.56	54253	1901	947251	38446	F	6243	Rhabditidae
ECA794	11.15	52330	29297	869731	38354	G	6237	Caenorhabditis
ECA795	40.70	425986	361216	5903415	359734	F	543	Enterobacteriaceae
ECA796	24.32	122080	4461	2092550	26039	F	6243	Rhabditidae
ECA796	23.42	117560	69181	1914278	25781	G	6237	Caenorhabditis
ECA797	14.95	70702	2602	1156817	22334	F	6243	Rhabditidae
ECA797	11.97	56596	47578	794821	230324	F	543	Enterobacteriaceae
ECA797	14.39	68033	38509	1050141	22104	G	6237	Caenorhabditis
ECA798	13.90	81250	68475	1129495	276309	F	543	Enterobacteriaceae
ECA798	14.14	82682	3329	1359763	18638	F	6243	Rhabditidae
ECA798	13.57	79313	44818	1231741	18445	G	6237	Caenorhabditis
ECA799	23.80	122400	4602	2115294	55343	F	6243	Rhabditidae
ECA799	22.89	117734	66282	1933839	55108	G	6237	Caenorhabditis
ECA800	15.89	94248	3225	1635714	102119	F	6243	Rhabditidae
ECA800	14.66	86986	73024	1197190	279632	F	543	Enterobacteriaceae
ECA800	15.34	90985	49501	1509781	101887	G	6237	Caenorhabditis
ECA801	38.95	453341	211	10571478	1406612	F	186822	Paenibacillaceae
ECA801	12.21	142079	5470	2360049	75078	F	6243	Rhabditidae
ECA801	38.93	453043	31906	10543237	1405976	G	44249	Paenibacillus
ECA801	11.73	136536	76431	2159762	74817	G	6237	Caenorhabditis
ECA802	16.61	67299	2304	1146164	56610	F	6243	Rhabditidae
ECA802	10.26	41572	174	1001023	392002	F	119060	Burkholderiaceae
ECA802	16.03	64965	35543	1055534	56497	G	6237	Caenorhabditis
ECA802	10.15	41125	1971	948452	373368	G	106589	Cupriavidus
ECA803	26.73	310821	259900	4203654	391155	F	543	Enterobacteriaceae
ECA803	18.81	218755	129	5155839	1191335	F	186822	Paenibacillaceae
ECA803	18.80	218575	14829	5140644	1190836	G	44249	Paenibacillus
ECA804	31.55	425063	357601	5884492	382095	F	543	Enterobacteriaceae
ECA804	12.47	167927	82	3971700	1096743	F	186822	Paenibacillaceae
ECA804	12.46	167803	11241	3960692	1096160	G	44249	Paenibacillus
ECA805	64.53	1179461	583	27686734	1471379	F	186822	Paenibacillaceae
ECA805	64.49	1178659	82591	27610000	1468592	G	44249	Paenibacillus
ECA806	20.10	96090	3810	1581803	40530	F	6243	Rhabditidae
ECA806	12.14	58023	48539	799443	238804	F	543	Enterobacteriaceae
ECA806	19.29	92228	52077	1437248	40296	G	6237	Caenorhabditis
EG5889	24.40	978129	14788	18743438	5484456	F	6243	Rhabditidae
EG5889	17.54	703236	573349	9341483	473139	F	543	Enterobacteriaceae
EG5889	24.02	963144	184370	18195639	5484456	G	6237	Caenorhabditis
EG6180	20.31	186409	829	3340371	498500	F	85023	Microbacteriaceae
EG6180	20.58	188856	5879	3444233	546455	F	6243	Rhabditidae
EG6180	20.05	184003	79669	3203937	475790	G	33882	Microbacterium
EG6180	19.93	182895	79300	3205781	546070	G	6237	Caenorhabditis
JU1373	61.10	1422983	2355	30957297	1364569	F	135621	Pseudomonadaceae
JU1373	60.96	1419941	137918	29974720	1317481	G	286	Pseudomonas
JU1373	51.94	1209686	1209686	14811010	698316	S	47885	Pseudomonas
JU1374	21.56	76045	3006	1081277	8170	F	6243	Rhabditidae
JU1374	20.69	72974	43139	979614	7948	G	6237	Caenorhabditis
JU1428	25.14	367282	301452	4924280	431775	F	543	Enterobacteriaceae
JU1428	14.46	211331	8077	3768647	21944	F	6243	Rhabditidae
JU1428	13.90	203157	111998	3419687	21602	G	6237	Caenorhabditis
JU1429	28.28	59257	2202	904196	9446	F	6243	Rhabditidae
JU1429	27.19	56986	34301	819793	9238	G	6237	Caenorhabditis
JU1430	39.13	166432	6543	2950020	12605	F	6243	Rhabditidae
JU1430	37.57	159820	88345	2670284	12345	G	6237	Caenorhabditis
JU1630	22.56	490542	20128	7186692	92845	F	6243	Rhabditidae
JU1630	21.61	470035	273945	6524154	92463	G	6237	Caenorhabditis
JU1631	28.34	385627	14902	6815904	16533	F	6243	Rhabditidae
JU1631	27.23	370530	200512	6200223	16103	G	6237	Caenorhabditis
JU1632	26.08	121363	4679	1803727	6833	F	6243	Rhabditidae
JU1632	25.05	116582	68909	1643379	6571	G	6237	Caenorhabditis
JU1633	20.02	69478	2625	1078270	30816	F	6243	Rhabditidae
JU1633	19.24	66792	37599	985345	30595	G	6237	Caenorhabditis
JU1634	25.50	165888	6567	2537389	9673	F	6243	Rhabditidae
JU1634	24.47	159186	92766	2312469	9375	G	6237	Caenorhabditis
JU1635	36.74	273323	1129	8093480	688380	F	1268	Micrococcaceae
JU1635	18.45	137287	5291	2460608	18483	F	6243	Rhabditidae
JU1635	36.08	268429	88407	7412855	629854	G	57493	Kocuria
JU1635	17.74	131941	72680	2234599	18203	G	6237	Caenorhabditis
JU1635	22.13	164664	164662	2068055	174358	S	72000	Kocuria
JU1636	23.59	133378	5200	1914617	8488	F	6243	Rhabditidae
JU1636	22.65	128057	76553	1749868	8241	G	6237	Caenorhabditis
JU1639	23.47	150651	5869	2305997	8956	F	6243	Rhabditidae
JU1639	22.53	144649	83743	2099024	8668	G	6237	Caenorhabditis
JU1640	27.96	237886	9106	3486566	8896	F	6243	Rhabditidae
JU1640	26.87	228600	136716	3181283	8546	G	6237	Caenorhabditis
JU1641	29.35	214835	8449	3178659	8398	F	6243	Rhabditidae
JU1641	28.17	206200	122993	2896590	8075	G	6237	Caenorhabditis
JU1800	26.98	163986	6366	2375799	9410	F	6243	Rhabditidae
JU1800	25.91	157475	94570	2150052	9108	G	6237	Caenorhabditis
JU1818	17.14	81038	2988	1429174	14213	F	6243	Rhabditidae
JU1818	16.50	78008	41559	1301550	13989	G	6237	Caenorhabditis
JU1819	38.71	105421	4118	1877525	12271	F	6243	Rhabditidae
JU1819	37.18	101264	55222	1705618	12032	G	6237	Caenorhabditis
JU1821	39.95	122456	4912	1936147	8626	F	6243	Rhabditidae
JU1821	38.32	117455	69853	1757814	8353	G	6237	Caenorhabditis
JU1831	35.37	109709	4373	1641958	8998	F	6243	Rhabditidae
JU1831	33.92	105213	63953	1490606	8725	G	6237	Caenorhabditis
JU1835	38.16	114868	4514	1942899	46967	F	6243	Rhabditidae
JU1835	36.62	110241	62429	1772604	46760	G	6237	Caenorhabditis
JU1836	20.78	1209640	1017726	17547429	431168	F	543	Enterobacteriaceae
JU1836	14.65	853234	36041	6532399	405037	F	85023	Microbacteriaceae
JU1836	14.49	843479	2039	28800802	1486577	F	2762318	Weeksellaceae
JU1836	11.31	658537	111842	4965801	271238	G	33882	Microbacterium
JU1836	14.33	834526	41333	28270043	1455795	G	59732	Chryseobacterium
JU1836	13.43	781734	781734	23521790	1223947	S	253	Chryseobacterium
JU1838	33.50	198987	8162	3543912	16516	F	6243	Rhabditidae
JU1838	32.11	190751	104425	3215897	16199	G	6237	Caenorhabditis
JU1839	25.22	182936	7474	3269083	13111	F	6243	Rhabditidae
JU1839	12.51	90730	73290	1138794	236381	F	543	Enterobacteriaceae
JU1839	24.17	175354	96458	2963327	12784	G	6237	Caenorhabditis
JU1845	42.99	223528	8880	3984628	20747	F	6243	Rhabditidae
JU1845	41.26	214534	118803	3618171	20390	G	6237	Caenorhabditis
JU1846	33.17	82353	3335	1238938	7062	F	6243	Rhabditidae
JU1846	10.64	26412	22191	326990	141241	F	543	Enterobacteriaceae
JU1846	31.81	78963	48065	1127537	6832	G	6237	Caenorhabditis
JU1847	39.75	259235	16	8500611	1120023	F	468	Moraxellaceae
JU1847	20.42	133133	5430	2379423	14815	F	6243	Rhabditidae
JU1847	39.75	259205	86872	8483857	1119163	G	469	Acinetobacter
JU1847	19.57	127644	70341	2159559	14546	G	6237	Caenorhabditis
JU1847	19.36	126224	124640	1064030	145406	S	48296	Acinetobacter
JU1848	21.14	880273	738860	12735211	418643	F	543	Enterobacteriaceae
JU1848	13.62	566964	2079	19902675	985333	F	468	Moraxellaceae
JU1848	13.56	564797	190867	19761136	976118	G	469	Acinetobacter
JU1849	26.37	88680	3472	1590507	15034	F	6243	Rhabditidae
JU1849	14.56	48953	41192	704678	254849	F	543	Enterobacteriaceae
JU1849	25.33	85160	47150	1443874	14819	G	6237	Caenorhabditis
JU1850	NA	NA	NA	NA	NA	NA	NA	NA
JU1851	14.77	151392	10099	818540	144007	F	85023	Microbacteriaceae
JU1851	15.79	161855	6227	2878854	8929	F	6243	Rhabditidae
JU1851	15.18	155550	87615	2608954	8654	G	6237	Caenorhabditis
JU1870	33.75	129525	5135	2308222	13236	F	6243	Rhabditidae
JU1870	32.40	124333	68152	2090756	12994	G	6237	Caenorhabditis
JU1871	34.40	163343	6451	2906617	15016	F	6243	Rhabditidae
JU1871	33.02	156797	86346	2633968	14711	G	6237	Caenorhabditis
JU1872	34.80	159485	6754	2532156	17665	F	6243	Rhabditidae
JU1872	33.29	152592	88783	2290276	17368	G	6237	Caenorhabditis
JU1975	19.88	75937	2970	1183217	8043	F	6243	Rhabditidae
JU1975	23.61	90203	75594	1143926	291571	F	543	Enterobacteriaceae
JU1975	19.08	72911	43351	1076310	7825	G	6237	Caenorhabditis
JU1976	23.77	733627	618382	10670047	384807	F	543	Enterobacteriaceae
JU1976	10.31	318081	12881	2520576	373813	F	85023	Microbacteriaceae
JU2505	37.21	191397	7560	3325665	21631	F	6243	Rhabditidae
JU2505	35.72	183742	100310	3009721	21288	G	6237	Caenorhabditis
JU2750	29.67	360325	183	9066126	1443922	F	186822	Paenibacillaceae
JU2750	21.21	257584	10222	4583888	23568	F	6243	Rhabditidae
JU2750	29.65	360082	22167	9040644	1443252	G	44249	Paenibacillus
JU2750	20.36	247249	134871	4161993	23223	G	6237	Caenorhabditis
JU2751	34.55	142258	5405	2382343	28097	F	6243	Rhabditidae
JU2751	33.20	136720	78620	2166600	27788	G	6237	Caenorhabditis
JU2752	33.30	63936	2500	1077344	17315	F	6243	Rhabditidae
JU2752	31.98	61394	35318	979632	17122	G	6237	Caenorhabditis
JU3170	17.49	176967	6654	3113073	57033	F	6243	Rhabditidae
JU3170	16.81	170079	92792	2839794	56739	G	6237	Caenorhabditis
NIC1000	26.89	342718	280685	4549331	417455	F	543	Enterobacteriaceae
NIC1000	12.92	164721	7021	2956937	44464	F	6243	Rhabditidae
NIC1000	12.37	157623	87129	2689589	44188	G	6237	Caenorhabditis
NIC1001	21.27	60778	2382	994484	13591	F	6243	Rhabditidae
NIC1001	14.49	41392	33820	569169	204637	F	543	Enterobacteriaceae
NIC1001	20.43	58354	34006	906248	13430	G	6237	Caenorhabditis
NIC1004	43.35	246847	9687	4263249	4203	F	6243	Rhabditidae
NIC1004	41.56	236684	136406	3852855	3895	G	6237	Caenorhabditis
NIC1005	26.28	164874	7055	2817473	6372	F	6243	Rhabditidae
NIC1005	16.36	102657	6	2809339	846516	F	118882	Brucellaceae
NIC1005	14.00	87798	161	2405862	708189	F	2762318	Weeksellaceae
NIC1005	25.15	157754	90779	2543903	6123	G	6237	Caenorhabditis
NIC1005	12.81	80353	16338	1406080	427204	G	234	Brucella
NIC1005	13.95	87484	38483	2343262	682120	G	308865	Elizabethkingia
NIC1012	30.55	325334	390	9380189	975562	F	2762318	Weeksellaceae
NIC1012	15.11	160922	6152	2849164	9993	F	6243	Rhabditidae
NIC1012	30.45	324333	138238	9139703	947285	G	308865	Elizabethkingia
NIC1012	14.52	154684	87299	2582809	9742	G	6237	Caenorhabditis
NIC1015	39.74	210355	8365	3677958	2684	F	6243	Rhabditidae
NIC1015	38.15	201889	114785	3324290	2353	G	6237	Caenorhabditis
NIC1016	25.16	2258197	124498	11605430	260593	F	85023	Microbacteriaceae
NIC1016	19.68	1766251	359194	7577433	186061	G	33882	Microbacterium
NIC1028	38.82	240234	9125	4347496	67285	F	6243	Rhabditidae
NIC1028	37.32	230948	127121	3958906	66935	G	6237	Caenorhabditis
NIC1029	38.09	95724	3645	1656937	6569	F	6243	Rhabditidae
NIC1029	36.61	92013	52730	1503915	6310	G	6237	Caenorhabditis
NIC1033	36.58	165968	6508	2930943	12789	F	6243	Rhabditidae
NIC1033	35.12	159386	87966	2659427	12486	G	6237	Caenorhabditis
NIC1038	39.65	99392	4175	1773269	10403	F	6243	Rhabditidae
NIC1038	37.97	95169	52553	1610650	10159	G	6237	Caenorhabditis
NIC105	22.07	113570	4476	1786442	49075	F	6243	Rhabditidae
NIC105	21.18	108994	62395	1620843	48919	G	6237	Caenorhabditis
